ID;StockRegularProduk;StockAReady;StockABelumReady;ScoreLayananStock;ScoreLayananSales;ScorePKBase;ScoreRetensi;AdaMatpro1;AdaMatpro2;AdaMatpro3;AdaMatpro4
74404;15;0;10;8;8;8;8;Tidak;Tidak;Tidak;Tidak
74406;11;0;40;9;9;9;9;Ya;Ya;Tidak;Tidak
74597;11;0;5;9;9;9;9;Ya;Ya;Tidak;Tidak
74603;10;0;40;9;9;9;9;Ya;Ya;Tidak;Tidak
74612;18;0;3;8;8;8;8;Ya;Ya;Tidak;Tidak
74619;11;0;11;8;8;8;8;Ya;Ya;Tidak;Ya
74623;11;0;11;9;9;9;9;Ya;Ya;Tidak;Ya
74992;12;0;9;9;9;9;9;Ya;Ya;Tidak;Ya
75007;5;0;5;9;9;9;9;Ya;Ya;Tidak;Ya
75793;5;0;5;9;9;9;9;Ya;Ya;Tidak;Ya
75797;6;0;1;9;9;9;9;Ya;Ya;Tidak;Ya
75805;40;0;200;9;9;9;9;Ya;Ya;Tidak;Ya
75814;13;0;17;9;9;9;9;Ya;Ya;Tidak;Ya
75824;5;0;12;9;9;9;9;Ya;Ya;Tidak;Ya
76145;10;0;9;9;9;9;9;Ya;Ya;Tidak;Ya
76376;10;0;1;9;9;9;9;Ya;Ya;Tidak;Ya
76512;8;0;0;9;9;9;9;Ya;Ya;Tidak;Tidak
76523;4;0;4;9;9;9;9;Ya;Ya;Tidak;Ya
76532;50;0;70;9;9;9;9;Ya;Ya;Tidak;Ya
76552;16;0;25;9;9;9;9;Ya;Ya;Tidak;Ya
76592;11;0;12;9;9;9;9;Ya;Ya;Tidak;Ya
76614;30;0;25;9;9;9;9;Ya;Ya;Ya;Ya
76638;12;0;12;9;9;9;9;Ya;Ya;Tidak;Ya
76671;45;0;42;9;9;9;9;Ya;Ya;Tidak;Ya
76705;20;0;5;9;9;9;9;Ya;Ya;Tidak;Ya
76773;14;0;14;10;9;9;9;Ya;Ya;Tidak;Ya
76791;15;0;4;10;9;9;9;Ya;Ya;Tidak;Ya
76879;15;0;30;9;9;9;9;Ya;Ya;Tidak;Ya
76884;30;0;9;10;10;9;9;Ya;Ya;Tidak;Ya
76886;50;0;50;10;10;9;9;Ya;Ya;Tidak;Ya
76892;11;0;2;9;9;9;9;Ya;Ya;Tidak;Ya
76896;30;0;30;9;9;9;9;Ya;Ya;Tidak;Ya
74387;18;0;13;7;8;7;6;Ya;Ya;Tidak;Ya
74388;0;0;18;9;10;9;8;Ya;Ya;Tidak;Ya
74389;13;0;0;9;10;10;10;Ya;Ya;Ya;Tidak
74390;5;0;0;8;8;10;5;Ya;Ya;Tidak;Ya
74877;7;0;1;10;10;10;8;Ya;Ya;Tidak;Tidak
75077;6;5;0;7;7;7;7;Ya;Ya;Tidak;Ya
75120;2;3;0;8;6;6;8;Ya;Ya;Tidak;Ya
75122;0;0;0;6;5;5;4;Ya;Ya;Tidak;Tidak
75123;3;0;0;10;10;10;10;Ya;Ya;Tidak;Tidak
75125;0;0;0;7;7;7;7;Ya;Ya;Tidak;Ya
75126;5;5;1;7;7;6;6;Ya;Ya;Tidak;Ya
75133;9;10;2;8;8;9;9;Ya;Ya;Tidak;Ya
75151;0;0;0;8;8;7;8;Ya;Ya;Tidak;Tidak
75215;15;16;1;9;10;9;9;Ya;Ya;Tidak;Ya
75216;0;0;0;8;6;8;8;Ya;Ya;Tidak;Tidak
75219;7;0;15;10;9;8;7;Ya;Ya;Tidak;Ya
75220;0;0;0;8;10;8;8;Ya;Ya;Tidak;Tidak
75821;55;0;0;6;8;8;8;Ya;Ya;Tidak;Tidak
76324;3;0;0;9;10;10;9;Ya;Ya;Tidak;Tidak
76496;6;0;10;8;9;7;6;Ya;Ya;Tidak;Ya
76500;4;0;5;10;10;8;7;Ya;Ya;Tidak;Ya
76587;16;0;35;7;7;7;7;Ya;Ya;Tidak;Ya
76594;0;0;0;8;8;7;7;Ya;Tidak;Tidak;Tidak
76613;11;0;0;10;9;10;10;Ya;Ya;Tidak;Ya
76708;27;0;55;8;8;7;8;Ya;Tidak;Tidak;Tidak
76840;20;0;25;9;9;8;8;Ya;Ya;Tidak;Ya
76877;12;0;5;9;9;9;9;Ya;Ya;Ya;Ya
77017;9;0;0;8;8;7;8;Ya;Ya;Tidak;Ya
77024;9;0;0;10;10;10;5;Ya;Ya;Tidak;Tidak
77030;12;0;24;10;10;10;10;Ya;Ya;Tidak;Ya
77032;6;0;2;8;9;8;10;Ya;Ya;Tidak;Tidak
77033;6;0;4;10;10;5;5;Ya;Ya;Ya;Tidak
74493;8;8;0;8;8;8;9;Tidak;Ya;Tidak;Tidak
74501;0;0;0;6;6;6;6;Tidak;Ya;Tidak;Tidak
74532;18;0;17;10;10;8;10;Tidak;Ya;Ya;Ya
74543;2;2;0;9;9;8;9;Tidak;Ya;Tidak;Tidak
74662;1;9;0;8;8;8;8;Tidak;Ya;Ya;Ya
74667;1;0;0;7;7;7;5;Ya;Ya;Tidak;Ya
74699;20;14;0;7;9;9;7;Ya;Ya;Tidak;Ya
74700;20;0;3;6;8;7;6;Tidak;Ya;Tidak;Ya
74701;9;0;6;10;8;8;7;Tidak;Ya;Tidak;Ya
74802;10;4;0;7;7;7;6;Tidak;Ya;Tidak;Ya
74837;8;13;0;9;8;6;7;Tidak;Ya;Tidak;Ya
74940;1;0;0;9;9;9;7;Tidak;Tidak;Tidak;Tidak
74972;2;0;0;7;7;7;6;Ya;Ya;Tidak;Ya
75015;5;0;0;8;8;9;8;Tidak;Ya;Tidak;Tidak
75022;15;0;15;8;9;8;7;Ya;Ya;Tidak;Tidak
75094;0;0;0;8;7;8;7;Ya;Ya;Tidak;Ya
75149;35;0;125;10;10;10;10;Tidak;Ya;Tidak;Ya
75197;0;0;0;7;7;7;7;Ya;Ya;Tidak;Tidak
75213;0;0;0;7;8;7;7;Ya;Ya;Tidak;Tidak
75230;6;7;0;10;9;9;9;Ya;Ya;Tidak;Tidak
75244;12;0;0;7;7;7;8;Ya;Tidak;Tidak;Ya
75273;28;145;0;10;10;10;10;Ya;Ya;Tidak;Ya
75330;10;0;0;8;8;8;8;Tidak;Tidak;Tidak;Tidak
75335;10;0;0;10;10;8;10;Ya;Ya;Tidak;Tidak
75829;0;0;0;8;9;8;7;Ya;Ya;Tidak;Tidak
75830;3;0;10;9;9;7;9;Tidak;Tidak;Tidak;Tidak
75836;0;0;0;10;10;7;10;Tidak;Tidak;Ya;Tidak
75841;3;0;0;6;6;5;5;Ya;Ya;Tidak;Tidak
75846;9;0;10;7;7;7;7;Ya;Ya;Ya;Ya
75858;1;14;0;8;8;7;7;Ya;Tidak;Tidak;Ya
75867;15;0;0;8;9;10;8;Ya;Ya;Tidak;Tidak
75872;9;0;0;9;8;8;8;Ya;Ya;Tidak;Ya
74800;1;0;40;10;10;10;10;Ya;Ya;Tidak;Tidak
74821;15;0;280;10;10;10;10;Ya;Ya;Ya;Tidak
74826;10;0;10;9;10;10;10;Ya;Ya;Tidak;Tidak
74836;0;0;15;10;10;9;9;Ya;Ya;Tidak;Tidak
74847;3;0;250;8;8;8;9;Ya;Ya;Ya;Tidak
