IDRetailer;Category;StockProdRegular;StockProdA
1;Cat-O;8;2
2;Cat-O;5;0
3;Cat-O;6;7
4;Cat-O;51;0
5;Cat-O;5;8
6;Cat-O;3;5
7;Cat-O;5;30
8;Cat-O;30;6
9;Cat-O;48;68
10;Cat-O;0;50
11;Cat-O;16;3
12;Cat-O;16;3
13;Cat-O;3;6
14;Cat-O;0;0
15;Cat-O;7;0
16;Cat-O;4;0
17;Cat-O;4;0
18;Cat-O;7;7
19;Cat-O;2;3
20;Cat-O;28;0
21;Cat-O;7;5
22;Cat-O;7;2
23;Cat-O;10;3
24;Cat-O;8;2
25;Cat-O;5;3
26;Cat-O;8;2
27;Cat-O;0;0
28;Cat-O;0;0
29;Cat-O;0;0
30;Cat-O;0;8
31;Cat-O;0;0
32;Cat-O;0;0
33;Cat-O;3;10
34;Cat-O;10;0
35;Cat-O;0;0
36;Cat-O;0;3
37;Cat-O;0;0
38;Cat-O;6;0
39;Cat-O;0;0
40;Cat-O;3;8
41;Cat-O;0;0
42;Cat-O;0;0
43;Cat-O;4;0
44;Cat-O;0;6
45;Cat-O;4;2
46;Cat-O;0;0
47;Cat-O;0;0
48;Cat-O;0;0
49;Cat-O;0;0
50;Cat-O;2;0
51;Cat-O;5;0
52;Cat-O;2;0
53;Cat-O;4;1
54;Cat-O;1;1
55;Cat-O;8;2
56;Cat-O;0;0
57;Cat-O;10;0
58;Cat-O;0;0
59;Cat-O;0;0
60;Cat-O;4;0
61;Cat-O;2;0
62;Cat-O;0;2
63;Cat-O;0;0
64;Cat-O;0;0
65;Cat-O;0;0
66;Cat-O;10;0
67;Cat-O;0;0
68;Cat-O;0;0
69;Cat-O;0;0
70;Cat-O;3;4
71;Cat-O;0;0
72;Cat-O;0;0
73;Cat-O;0;0
74;Cat-O;10;0
75;Cat-O;0;0
76;Cat-O;0;8
77;Cat-O;0;0
78;Cat-O;0;0
79;Cat-O;15;0
80;Cat-O;0;0
81;Cat-O;30;0
82;Cat-O;0;0
83;Cat-O;3;0
84;Cat-O;70;3
85;Cat-O;0;0
86;Cat-O;6;0
87;Cat-O;0;0
88;Cat-O;0;0
89;Cat-O;0;0
90;Cat-O;13;10
91;Cat-O;0;0
92;Cat-O;0;0
93;Cat-O;0;0
94;Cat-O;6;0
95;Cat-O;5;0
96;Cat-O;0;0
97;Cat-O;0;0
98;Cat-O;15;10
99;Cat-O;0;8
100;Cat-O;0;0
101;Cat-O;0;4
102;Cat-O;0;5
103;Cat-O;10;2
104;Cat-O;0;4
105;Cat-O;10;6
106;Cat-O;5;0
107;Cat-O;11;5
108;Cat-O;8;6
109;Cat-O;10;7
110;Cat-O;15;10
111;Cat-O;20;8
112;Cat-O;20;8
113;Cat-O;15;9
114;Cat-O;20;11
115;Cat-O;5;5
116;Cat-O;20;10
117;Cat-A;15;0
118;Cat-A;11;0
119;Cat-A;11;0
120;Cat-A;10;0
121;Cat-A;18;0
122;Cat-A;11;0
123;Cat-A;11;0
124;Cat-A;12;0
125;Cat-A;5;0
126;Cat-A;5;0
127;Cat-A;6;0
128;Cat-A;40;0
129;Cat-A;13;0
130;Cat-A;5;0
131;Cat-A;10;0
132;Cat-A;10;0
133;Cat-A;8;0
134;Cat-A;4;0
135;Cat-A;50;0
136;Cat-A;16;0
137;Cat-A;11;0
138;Cat-A;30;0
139;Cat-A;12;0
140;Cat-A;45;0
141;Cat-A;20;0
142;Cat-A;14;0
143;Cat-A;15;0
144;Cat-A;15;0
145;Cat-A;30;0
146;Cat-A;50;0
147;Cat-A;11;0
148;Cat-A;30;0
149;Cat-A;18;0
150;Cat-A;2;2
151;Cat-A;1;9
152;Cat-A;1;0
153;Cat-A;20;14
154;Cat-A;20;0
155;Cat-A;9;0
156;Cat-A;8;13
157;Cat-A;1;0
158;Cat-A;2;0
159;Cat-A;5;0
160;Cat-A;15;0
161;Cat-A;0;0
162;Cat-A;35;0
163;Cat-A;0;0
164;Cat-A;6;7
165;Cat-A;28;145
166;Cat-A;10;0
167;Cat-A;0;0
168;Cat-A;3;0
169;Cat-A;3;0
170;Cat-A;9;0
171;Cat-A;1;14
172;Cat-A;15;0
173;Cat-A;9;0
174;Cat-A;15;0
175;Cat-A;15;8
176;Cat-A;10;0
177;Cat-A;60;0
178;Cat-A;0;0
179;Cat-A;25;20
180;Cat-A;0;0
181;Cat-A;0;1
182;Cat-A;4;0
183;Cat-A;38;0
184;Cat-A;4;4
185;Cat-A;6;0
186;Cat-A;0;0
187;Cat-A;2;0
188;Cat-A;28;0
189;Cat-A;25;0
190;Cat-A;1;0
191;Cat-A;5;0
192;Cat-A;25;0
193;Cat-A;15;0
194;Cat-A;0;23
195;Cat-A;0;0
196;Cat-A;0;30
197;Cat-A;0;40
198;Cat-A;0;6
199;Cat-A;0;21
200;Cat-A;0;7
201;Cat-A;0;10
202;Cat-A;5;6
203;Cat-A;0;30
204;Cat-A;0;0
205;Cat-A;10;15
206;Cat-A;4;6
207;Cat-A;0;4
208;Cat-A;6;16
209;Cat-A;6;12
210;Cat-A;0;12
211;Cat-A;0;0
212;Cat-A;0;12
213;Cat-A;10;21
214;Cat-A;13;0
215;Cat-A;10;16
216;Cat-A;0;0
217;Cat-A;0;9
218;Cat-A;6;21
219;Cat-A;0;0
220;Cat-A;8;0
221;Cat-A;0;69
222;Cat-A;0;1
223;Cat-A;41;43
224;Cat-A;9;0
225;Cat-A;0;0
226;Cat-A;0;0
227;Cat-A;11;0
228;Cat-A;11;0
229;Cat-A;3;21
230;Cat-A;11;0
231;Cat-A;0;0
232;Cat-A;11;5
233;Cat-A;5;1
234;Cat-A;13;0
235;Cat-A;16;0
236;Cat-A;0;0
237;Cat-A;8;0
238;Cat-A;0;0
239;Cat-A;5;0
240;Cat-A;3;0
241;Cat-A;0;0
242;Cat-A;12;0
243;Cat-A;11;0
244;Cat-A;4;0
245;Cat-A;0;0
246;Cat-A;1;0
247;Cat-A;0;0
248;Cat-A;0;0
249;Cat-A;12;0
250;Cat-A;13;0
251;Cat-A;0;25
252;Cat-A;0;0
253;Cat-A;12;15
254;Cat-A;2;0
255;Cat-A;8;10
256;Cat-A;0;12
257;Cat-A;0;78
258;Cat-A;3;5
259;Cat-A;8;10
260;Cat-A;20;0
261;Cat-A;2;22
262;Cat-A;45;15
263;Cat-A;1;22
264;Cat-A;0;0
265;Cat-A;0;14
266;Cat-A;5;7
267;Cat-A;9;6
268;Cat-A;13;72
269;Cat-A;11;33
270;Cat-A;10;18
271;Cat-A;6;15
272;Cat-A;4;0
273;Cat-A;0;0
274;Cat-A;12;0
275;Cat-A;1;4
276;Cat-A;24;0
277;Cat-A;0;0
278;Cat-A;5;0
279;Cat-A;9;0
280;Cat-A;0;0
281;Cat-A;5;0
282;Cat-A;12;0
283;Cat-A;15;0
284;Cat-A;8;0
285;Cat-A;5;0
286;Cat-A;20;0
287;Cat-A;9;0
288;Cat-A;7;0
289;Cat-A;17;0
290;Cat-A;0;0
291;Cat-A;16;0
292;Cat-A;0;0
293;Cat-A;14;0
294;Cat-A;0;0
295;Cat-A;0;0
296;Cat-A;10;0
297;Cat-A;0;0
298;Cat-A;0;0
299;Cat-A;21;0
300;Cat-A;8;0
301;Cat-A;3;0
302;Cat-A;9;0
303;Cat-A;4;0
304;Cat-A;14;24
305;Cat-A;10;7
306;Cat-A;8;14
307;Cat-A;9;5
308;Cat-A;8;5
309;Cat-A;0;58
310;Cat-A;0;24
311;Cat-A;0;0
312;Cat-A;1;9
313;Cat-A;8;58
314;Cat-A;0;0
315;Cat-A;35;32
316;Cat-A;20;11
317;Cat-A;12;20
318;Cat-A;10;32
319;Cat-A;7;25
320;Cat-A;4;20
321;Cat-A;0;5
322;Cat-A;3;16
323;Cat-A;5;26
324;Cat-A;0;50
325;Cat-A;4;10
326;Cat-A;11;29
327;Cat-A;2;60
328;Cat-A;9;35
329;Cat-A;8;35
330;Cat-A;5;40
331;Cat-A;0;0
332;Cat-A;2;30
333;Cat-A;9;30
334;Cat-A;9;22
335;Cat-A;17;65
336;Cat-A;41;0
337;Cat-A;1;0
338;Cat-A;6;0
339;Cat-A;46;0
340;Cat-A;8;0
341;Cat-A;7;0
342;Cat-A;10;0
343;Cat-A;5;0
344;Cat-A;12;0
345;Cat-A;4;0
346;Cat-A;12;0
347;Cat-A;0;0
348;Cat-A;9;0
349;Cat-A;7;0
350;Cat-A;4;0
351;Cat-A;9;0
352;Cat-A;28;0
353;Cat-A;9;0
354;Cat-A;0;0
355;Cat-A;9;0
356;Cat-A;5;0
357;Cat-A;0;0
358;Cat-A;0;0
359;Cat-A;0;0
360;Cat-A;0;0
361;Cat-A;6;0
362;Cat-A;4;0
363;Cat-A;12;0
364;Cat-A;11;0
365;Cat-A;5;0
366;Cat-A;0;0
367;Cat-A;4;0
368;Cat-A;12;0
369;Cat-A;11;0
370;Cat-A;5;15
371;Cat-A;10;0
372;Cat-A;12;3
373;Cat-A;6;5
374;Cat-A;8;0
375;Cat-A;9;6
376;Cat-A;2;0
377;Cat-A;5;4
378;Cat-A;4;0
379;Cat-A;10;0
380;Cat-A;6;0
381;Cat-A;7;0
382;Cat-A;4;0
383;Cat-A;14;0
384;Cat-A;5;0
385;Cat-A;4;0
386;Cat-A;13;0
